Korean,Romanize,English
시간,[sigan],time
남자,[namja],man
방법,[bangbeop],way
사람들,[saramdeul],people
인생,[insaeng],life
날,[nal],day
일,[il],work
전화,[jeonhwa],call
밤,[bam],night
집,[jip],home
생각,[saenggak],thought
돈,[don],money
이름,[ireum],name
아버지,[abeoji],father
남자,[namja],guy
장소,[jangso],place
느낌,[neukkim],feel
여자,[yeoja],girl
집,[jip],house
왼쪽,[oenjjok],left
오른쪽,[oreunjjok],right
어머니,[eomeoni],mother
과정,[gwajeong],course
아빠,[appa],dad
세계,[segye],world
아들,[adeul],son
자동차,[jadongcha],car
여자,[yeoja],woman
친구,[chingu],friend
마음,[maeum],mind
머리,[meori],head
엄마,[eomma],mom
소년,[sonyeon],boy
직업,[jigeop],job
아기,[agi],baby
가족,[gajok],family
방,[bang],room
형제,[hyeongje],brother
머리,[meori],head
아이디어,[aideia],idea
아내,[anae],wife
시작,[sijak],start
문,[mun],door
조각,[jogak],bit
문제,[munje],matter
달리기,[dalligi],run
학교,[hakgyo],school
놀이,[nori],play
문제,[munje],problem
끝,[kkeut],end
전화기,[jeonhwagi],phone
희망,[huimang],hope
변명,[byeonmyeong],excuse
얼굴,[eolgul],face
차례,[charye],turn
경찰,[gyeongchal],police
마음,[maeum],heart
걱정,[geokjeong],worry
사업,[saeop],business
시계,[sigye],watch
년,[nyeon],year
손,[son],hand
의사,[uisa],doctor
앉기,[anjgi],sit
초,[cho],second
아이,[ai],kid
급여,[geubyeo],pay
물,[mul],water
죽음,[jugeum],death
물건,[mulgeon],stuff
분,[bun],minute
부분,[bubun],part
사람,[saram],person
음료,[eumryo],drink
변화,[byeonhwa],change
타격,[tageok],hit
확인,[hwagin],check
음악,[eumak],music
안,[an],inside
잠,[jam],sleep
나의,[naui],mine
거래,[georae],deal
점,[jeom],point
몸,[mom],body
친애하는,[chinaehaneun],dear
기회,[gihoi],chance
가까이,[gakkai],close
파티,[pati],party
딸,[ttal],daughter
단어,[daneo],word
즐거움,[jeulgeoum],fun
번호,[beonho],number
이야기,[iyagi],story
세트,[seteu],set
소망,[somang],wish
남편,[nampyeon],husband
불,[bul],fire
싸움,[ssawum],fight
휴식,[hyusik],rest
순간,[sungan],moment
주,[ju],week
서기,[seogi],stand
게임,[geim],game
절단,[jeoldan],cut
여동생,[yeodongsaeng],sister
아이,[ai],child
측면,[cheugmyeon],side
피,[pi],blood
진실,[jinsil],truth
여자,[yeoja],lady
총격,[chonggyeok],shot
전쟁,[jeonjaeng],war
휴식,[hyusik],break
걷기,[geodgi],walk
이유,[iyu],reason
고난,[gonan],trouble
도시,[dosi],city
마을,[maeul],town
신뢰,[sinloe],trust
질문,[jilmun],question
사무실,[samusil],office
절반,[jeolban],half
환영,[hwanyeong],welcome
커플,[keopeul],couple
서두름,[seodureum],hurry
꿀,[kkul],honey
권력,[gwollyeok],power
침대,[chimdae],bed
앞,[ap],front
답,[dap],answer
총,[chong],gun
줄,[jul],line
팀,[tim],team
뉴스,[nyuseu],news
선장,[seonjang],captain
증오,[jeungo],hate
개,[gae],dog
음식,[eumsik],food
빛,[bit],light
명령,[myeongryeong],order
국가,[gukga],country
선택,[seontaek],pick
사실,[sasil],fact
검정,[geomjeong],black
상사,[sangsa],boss
원인,[wonin],cause
저녁,[jeonyeok],dinner
약속,[yaksok],promise
계획,[gyehoek],plan
종류,[jongryu],sort
책,[chaek],book
시간,[sigan],hour
삼촌,[samchon],uncle
금고,[geumgo],safe
총격,[chonggyeok],shoot
접촉,[jeopchok],touch
회사,[hoesa],company
과거,[gwageo],past
암캐,[amkae],bitch
소리,[sori],sound
머리칼,[meorikal],hair
인간,[ingan],human
운전,[unjeon],drive
행운,[haengun],luck
정상,[jeongsang],top
승리,[seungri],win
통제,[tongje],control
추위,[chuwi],cold
공기,[gonggi],air
주인,[juin],master
춤,[chum],dance
섹스,[seksu],sex
다른,[dareun],others
병원,[byeongwon],hospital
거리,[geori],street
살인,[salin],murder
거짓말,[geojitmal],lie
꿈,[kkum],dream
잡기,[jabgi],catch
달콤한,[dalkomhan],sweet
감각,[gamgak],sense
내기,[naegi],bet
목소리,[moksori],voice
표지,[pyoji],sign
조용한,[joyonghan],quiet
느낀,[neukkin],felt
박자,[bakja],beat
돌아오기,[doraogi],return
커피,[keopi],coffee
데이트,[deiteu],date
당기기,[danggigi],pull
비밀,[bimil],secret
잘못,[jalmot],fault
떨어짐,[tteoreojim],fall
노래,[norae],song
침착한,[chimchakhan],calm
도로,[doro],road
떨어뜨림,[tteoreotteurim],drop
미래,[mirae],future
던지기,[deonjigi],throw
걸음,[georeum],step
조각,[jogak],piece
사진,[sajin],picture
땅,[ttang],land
궁금증,[gunggeumjeung],wonder
가치,[gachi],worth
대통령,[daetongryeong],president
눈,[nun],eye
친구,[chingu],dude
상태,[sangtae],state
형태,[hyeongtae],figure
행동,[haengdong],act
법,[beop],law
키스,[kiseu],kiss
작업,[jageop],works
보고서,[bogoseo],report
고통,[gotong],pain
패스,[paeseu],pass
깨어남,[kkaeeonam],wake
장군,[janggun],general
배,[bae],ship
선택,[seontaek],choice
반,[ban],class
장교,[janggyo],officer
실수,[silsoo],mistake
책임자,[chaegimja],chief
나이,[nai],age
입,[ip],mouth
마침,[machim],finish
옷,[ot],clothes
타기,[tagi],ride
생일,[saengil],birthday
어둠,[eodum],dark
체계,[chegye],system
필름,[pilleum],film
법원,[beopwon],court
영화,[yeonghwa],movie
달,[dal],month
입기,[ipgi],wear
기차,[gicha],train
호텔,[hotel],hotel
증거,[jeunggeo],evidence
보안,[boan],security
정보,[jeongbo],information
가방,[gabang],bag
공격,[gonggyeok],attack
라운드,[raundeu],round
푸른,[pureun],blue
역,[yeok],station
탁자,[takja],table
메시지,[mesiji],message
역사,[yeoksa],history
바보,[babo],fool
친구,[chingu],buddy
바닥,[badak],floor
태양,[taeyang],sun
손잡이,[sonjabi],handle
군대,[gundae],army
결혼,[gyeolhon],marriage
편지,[pyeonji],letter
주의,[juui],attention
평화,[pyeonghwa],peace
상황,[sanghwang],situation
중간,[junggan],middle
바위,[bawi],rock
시험,[siheom],test
선도,[seondo],lead
클럽,[keulleop],club
공포,[gongpo],fear
선물,[seonmul],present
바보,[babo],idiot
상자,[sangja],box
공,[gong],ball
집단,[jipdan],group
보트,[boteu],boat
계산,[gyesan],count
나쁜놈,[nappeunnom],bastard
범죄,[beomjoe],crime
열쇠,[yeolsoe],key
힘,[him],force
말,[mal],horse
점심,[jeomsim],lunch
미국인,[migugin],american
종이,[jongi],paper
요금,[yogeum],charge
놀람,[nollam],surprise
공간,[gonggan],space
떨어진,[tteoreojin],fell
명예,[myeongye],honor
사고,[sago],accident
물고기,[mulgogi],fish
바,[ba],bar
땅,[ttang],ground
정부,[jeongbu],government
은행,[eunhaeng],bank
덮개,[deopgae],cover
주요한,[juyohan],major
숨기기,[sumgigi],hide
막대기,[makdaegi],stick
바다,[bada],sea
차,[cha],tea
지역,[jiyeok],area
드레스,[deureseu],dress
서비스,[seobiseu],service
여행,[yeohaeng],trip
라디오,[radio],radio
타격,[tagyeok],blow
별,[byeol],star
기록,[girok],record
제안,[jean],offer
감옥,[gamok],prison
영혼,[yeonghon],soul
목록,[mokrok],list
금,[geum],gold
오후,[ohu],afternoon
대리인,[daeriin],agent
탐정,[tamjeong],detective
수리,[suri],fix
존경,[jongyeong],respect
공공,[gonggong],public
여자친구,[yeojachingu],girlfriend
술취함,[sulchwihalm],drunk
뇌,[noe],brain
세포,[sepo],cell
혼란,[honlan],mess
냄새,[naemsaе],smell
파리/비행,[pari]/[bihaeng],fly/(insect)
살인자,[salinja],killer
장면,[jangmyeon],scene
카드,[kadeu],card
영어,[yeongeo],english
교회,[gyohoe],church
얼음,[eoreum],ice
창문,[changmun],window
공유,[gongyu],share
웃음,[useum],laugh
중위,[jungwi],lieutenant
울음,[ureum],cry
엄마,[eomma],mum
방문,[bangmun],visit
좌석,[jwaseok],seat
선생님,[seonsaengnim],teacher
관계,[gwangye],relationship
즐거움,[jeulgeoum],pleasure
카메라,[kamera],camera
대학,[daehak],college
판사,[pansa],judge
위치,[wichi],position
위해,[wihae],sake
남자친구,[namjachingu],boyfriend
벽,[byeok],wall
사적,[sajeok],private
정류,[jeonglyu],stop
프랑스어,[peurangseueo],french
예술,[yesul],art
기계,[gigye],machine
녹색,[noksaek],green
경찰,[gyeongchal],cop
와인,[wain],wine
아파트,[apateu],apartment
마을,[maeul],village
축하,[chukha],congratulations
감방,[gambang],jail
농담,[nongdam],joke
악,[ak],evil
변호사,[byeonhosa],lawyer
필드/밭,[pildeu]/[bat],field
접촉,[jeopchok],contact
상점,[sangjeom],store
가게,[gage],shop
교수,[gyosu],professor
부인,[buin],madam
의심,[uisim],doubt
비행기,[bihaenggi],plane
현금,[hyeongeum],cash
섬,[seom],island
고양이,[goyangi],cat
결정,[gyeoljeong],decision
맥주,[maekju],beer
차이,[chai],difference
밀치기,[milchigi],push
남쪽,[namjjok],south
선물,[seonmul],gift
유리,[yuri],glass
나무,[namu],tree
곰,[gom],bear
북쪽,[bukjjok],north
버스,[beoseu],bus
파트너,[pateuneo],partner
잡기,[jabgi],grab
피해자,[pihaeja],victim
컴퓨터,[keompyuteo],computer
트럭,[teureok],truck
도달,[dodal],reach
판,[pan],board
지방,[jibang],fat
행성,[haengseong],planet
수색,[susaek],search
바람,[baram],wind
체포,[chepo],arrest
도약,[doyak],jump
지원,[jiwon],support
마법,[mabeop],magic
쓰레기,[sseuregi],crap
부엌,[bueok],kitchen
여름,[yeoreum],summer
환자,[hwanja],patient
이모,[imo],aunt
경험,[gyeongheom],experience
천국,[cheonguk],heaven
강,[gang],river
노크,[nokeu],knock
탈출,[talchul],escape
주소,[juso],address
발,[bal],foot
달,[dal],moon
친구,[chingu],mate
경기,[gyeonggi],match
최종,[choejong],final
연기,[yeongi],smoke
비난,[binan],blame
인쇄,[inswae],press
미소,[miso],smile
유형,[yuhyeong],type
임무,[immu],mission
호의,[hoi],favor
행동,[haengdong],action
의무,[uimu],duty
가격,[gagyeok],price
경비,[gyeongbi],guard
위험,[wiheom],risk
통지,[tongji],notice
적,[jeok],enemy
발차기,[balchagi],kick
종족/경주,[jongjok]/[gyeongju],race
정장,[jeongjang],suit
핏,[pit],fit
감독,[gamdok],director
점,[jeom],spot
십자가,[sipjaga],cross
팔,[pal],arm
위층,[wichung],upstairs
닭,[dak],chicken
부서,[buseo],department
영웅,[yeongung],hero
가스,[gaseu],gas
상사,[sangsa],sergeant
낮음,[najeum],low
다리,[dari],leg
맛,[mat],taste
낭비,[nangbi],waste
서쪽,[seojoк],west
묶음,[mukkeum],bunch
전투,[jeontu],battle
공부,[gongbu],study
언급,[eongeom],mention
종,[jong],bell
무대,[mudae],stage
구멍,[gumeong],hole
자물쇠,[jamulsoe],lock
무기,[mugi],weapon
에너지,[eneoji],energy
대우,[daeu],treat
화상,[hwang],burn
형태,[hyeongtae],form
하늘,[haneul],sky
아침밥,[achimbap],breakfast
밴드,[baendeu],band
트랙,[teuraek],track
정신,[jeongsin],spirit
코,[ko],nose
좋아하는것,[joahaneungeot],favorite
기억,[gieok],memory
웃음,[useum],laughter
굴림,[gullim],roll
목격자,[mokgyeokja],witness
이중,[ijung],double
화장실,[hwajangsil],bathroom
건설,[geonseol],build
폭탄,[poktan],bomb
압력,[apryeok],pressure
비행,[bihaeng],flight
관심,[gwansim],interest
목,[mok],throat
비용,[biyong],cost
위험,[wiheom],danger
더러운놈,[deoreounnom],asshole
목,[mok],neck
용의자,[yonguija],suspect
병,[byeong],bottle
아름다움,[areumdaum],beauty
자연,[jayeon],nature
비디오,[bidio],video
비,[bi],rain
캠프,[kaempeu],camp
수치,[suchi],shame
운전사,[unjeonsa],driver
새,[sae],bird
군중,[gunjung],crowd
수준,[sujeun],level
신념,[sinyeom],faith
사령관,[saryeonggwan],commander
고객,[gogaek],client
엔진,[enjin],engine
팝,[pop],pop
동물,[dongmul],animal
악마,[akma],devil
주말,[jumal],weekend
돌,[dol],stone
애인,[aein],sweetheart
피부,[pibu],skin
칼,[kal],knife
마약,[mayak],drug
눈먼,[nunmen],blind
독일어,[dogireo],german
해변,[haebyeon],beach
모자,[moja],hat
현지,[hyeonji],local
코드,[kodeu],code
홀,[hol],hall
기회,[gihoi],opportunity
헛소리,[heossori],bullshit
모서리,[moseori],corner
컵,[keop],cup
정의,[jeongui],justice
바닥,[badak],bottom
유령,[yuryeong],ghost
식당,[siktang],restaurant
언어,[eoneo],language
동쪽,[dongjjok],east
동료,[dongryo],fellow
노트,[noteu],note
리더,[rideo],leader
건강,[geongang],health
천사,[cheonsa],angel
규칙,[gyuchik],rule
사촌,[sachon],cousin
조언,[joeon],advice
용서,[yongseo],pardon
우유,[uyu],milk
속도,[sokdo],speed
파일,[pail],file
테이프,[teipeu],tape
연습,[yeonseup],practice
응급,[eunggeup],emergency
다리,[dari],bridge
코치,[kochi],coach
감독관,[gamdokgwan],inspector
장관,[janggwan],minister
박수,[baksu],applause
대화,[daehwa],conversation
계좌,[gyejwa],account
숨,[sum],breath
크루,[keuru],crew
고기,[gogi],meat
케이크,[keikeu],cake
힘,[him],strength
경력,[gyeongryeok],career
시야,[siya],sight
투표,[tupyo],vote
복사,[boksa],copy
헛소리,[heossori],nonsense
학생,[haksaeng],student
재판,[jaepan],trial
자유,[jayu],freedom
시장,[sijang],market
매니저,[maenijeo],manager
크기,[keugi],size
조작,[jojak],operation
속임수,[sogimsu],trick
애기,[aegi],sweetie
꾸러미,[kkureomi],pack
괴물,[goemul],monster
센터,[senteo],center
여행,[yeohaeng],travel
타겟,[taget],target
과학,[gwahak],science
프로젝트,[peurojekteu],project
먹이,[meogi],feed
신용,[sinyong],credit
자살,[jasal],suicide
조사,[josa],investigation
간호사,[ganhosa],nurse
기름,[gireum],oil
범죄자,[beomjoeja],criminal
군인,[gunin],soldier
셔츠,[syeocheu],shirt
예,[ye],example
파업,[paeup],strike
의자,[uija],chair
우주,[uju],universe
명령,[myeongryeong],command
상태,[sangtae],condition
도전,[dojeon],challenge
티켓,[tiket],ticket
견해,[gyeonhae],view
프로그램,[peurogeuraem],program
갈색,[galsaek],brown
세탁,[setak],wash
사회,[sahoe],society
석방,[seokbang],release
출생,[chulsaeng],birth
연구,[yeongu],research
손님,[sonnim],guest
리프트,[ripeuteu],lift
의견,[uigyeon],opinion
캐릭터,[kaerikteo],character
산,[san],mountain
열,[yeol],heat
넥타이,[neoktai],tie
보안관,[boangwan],sheriff
색깔,[saekkkal],color
검,[geom],sword
실험실,[silheomsil],lab
총알,[chongal],bullet
증거,[jeunggeo],proof
기지,[giji],base
크림,[keurim],cream
소음,[soeum],noise
전체,[jeonche],total
갱단,[gaengdan],gang
행복,[haengbok],happiness
기쁨,[gippeum],joy
여성,[yeoseong],female
그리기,[geurigi],draw
남성,[namseong],male
물림,[mullim],bite
샤워,[syawo],shower
관객,[gwangaek],audience
목적,[mokjeok],purpose
운명,[unmyeong],fate
나사,[nasa],screw
신사,[sinssa],gentleman
약,[yak],medicine
책임,[chaegim],responsibility
대화,[daehwa],talk
분할,[bunhal],split
무게,[muge],weight
단위,[danwi],unit
돼지,[dwaeji],pig
책상,[chaeksang],desk
손가락,[songarak],finger
수영장,[suyeongjang],pool
초점,[chojeom],focus
정원,[jeongwon],garden
재산,[jaesan],property
시장,[sijang],mayor
문제,[munje],issue
친구,[chingu],pal
인터뷰,[inteobyu],interview
팬,[paen],fan
신호,[sinho],signal
침묵,[chimmuk],silence
수술,[susoer],surgery
해,[hae],harm
직원,[jikwon],staff
요리사,[yorisa],chef
날씨,[nalsi],weather
거리,[geori],distance
과정,[gwajeong],process
계절,[gyejeol],season
접근,[jeopgeun],access
모델,[model],model
길,[gil],path
러시아인,[reosiain],russian
회원,[hoewon],member
스타일,[seutail],style
알람,[allam],alarm
일본인,[ilbonin],japanese
설탕,[seoltang],sugar
지붕,[jibung],roof
장례식,[jangryesik],funeral
피해,[pihae],damage
위,[wi],stomach
빵,[ppang],bread
눈,[nun],snow
성,[seong],castle
연설,[yeonseor],speech
블록,[beullok],block
흔들기,[heundeulgi],shake
파기,[pagi],dig
우체국,[ucheguk],post
현실,[hyeonsil],reality
축구,[chukgu],football
확산,[hwaksan],spread
코트,[koteu],coat
가슴,[gaseum],chest
성공,[seonggong],success
마담,[madam],madame
안전,[anjeon],safety
허가,[heoga],permission
화려,[hwaryeo],fancy
이론,[iron],theory
문,[mun],gate
여행,[yeohaeng],journey
페인트,[peinteu],paint
연인,[yeonin],lover
기분,[gibun],mood
폭풍,[pokpung],storm
페이지,[peiji],page
치즈,[chijeu],cheese
신부,[sinbu],priest
후회,[huhoer],regret
계약,[gyeyak],contract
도둑,[doduk],thief
이혼,[ihon],divorce
교훈,[gyohun],lesson
공동체,[gongdongche],community
주제,[juje],subject
임대,[imdae],rent
복수,[boksu],revenge
무역,[muyeok],trade
숲,[sup],forest
서두름,[seodureum],rush
소유자,[soyooja],owner
양,[yang],amount
예술가,[yesulga],artist
포켓,[pokeot],pocket
암,[am],cancer
쌍,[ssang],pair
폐허,[pyehoe],ruin
할아버지,[harabeoji],grandfather
자전거,[jajeongeo],bike
손실,[sonsil],loss
거짓말쟁이,[geojismaljaengi],liar
겨울,[gyeoul],winter
보조원,[bojowon],assistant
살인자,[sarinja],murderer
농장,[nongjang],farm
혀,[hyeo],tongue
화장실,[hwajangsil],toilet
천재,[cheongjae],genius
광장,[gwangjang],square
비서,[biseo],secretary
연결,[yeongyeol],connection
아래층,[araecheung],downstairs
침실,[chimsil],bedroom
전문가,[jeonmunga],professional
여행,[yeohaeng],tour
선수,[seonsu],player
은,[eun],silver
애정,[aejeong],pity
시계,[sigye],clock
바다,[bada],ocean
DNA,[diena],dna
충돌,[chungdor],crash
목욕,[mogyok],bath
운,[un],fortune
세기,[segi],century
보험,[bohum],insurance
공항,[gonghang],airport
사원,[sawon],temple
지식,[jisik],knowledge
지도,[jido],map
경쟁,[gyeongryeong],competition
방어,[bangeo],defense
선량함,[seollyangham],goodness
이벤트,[ibenteu],event
기간,[gigan],period
형태,[hyeongtae],shape
지옥,[jiok],hell
전화,[jeonhwa],telephone
요청,[yocheong],request
지원,[jiwon],grant
사건,[sageon],affair
무덤,[mudeom],grave
거인,[geoin],giant
식물,[sigmul],plant
현장,[hyeonjang],site
성명,[seongmyeong],statement
증가,[jeungga],rise
재킷,[jaekit],jacket
자비,[jabir],mercy
창녀,[changnyeo],whore
전환,[jeonhwan],switch
식사,[siksa],meal
방향,[banghyang],direction
데이터,[deiteo],data
뿔,[ppul],horn
변호사,[byeonhosa],attorney
관리,[gwalli],official
쥐,[jwi],rat
피자,[pija],pizza
충격,[chunggyeok],shock
수프,[supeu],soup
용기,[yonggi],courage
노랑,[norang],yellow
위치,[wichi],location
"실없는,인간","[sireoptneun,ingan]",jerk
초콜릿,[chokollit],chocolate
이미지,[imiiji],image
일반인,[ilbanin],regular
택시,[taeksi],taxi
오줌,[ojum],piss
상처,[sangcheo],wound
접시,[jeopsi],plate
텔레비전,[tellebijeon],television
괴짜,[goejja],freak
교통,[gyotong],traffic
새벽,[saebyeok],dawn
독,[dok],poison
미스테리,[miseuteori],mystery
인도인,[indoin],indian
쾅,[kwang],bang
병,[byeong],disease
이탈리아인,[italliain],italian
역할,[yeokhal],role
엉덩이,[eongdeongi],butt
승리,[seungri],victory
덫,[deot],trap
국가,[gukga],nation
욕망,[yokmang],desire
자정,[jajeong],midnight
배심원단,[baesimwondan],jury
약속,[yaksok],appointment
수영,[suyeong],swim
우편,[upyeon],mail
휴가,[hyuga],vacation
원천,[woncheon],source
공장,[gongjang],factory
궁전,[gungjeon],palace
균열,[gyunyeol],crack
재능,[jaeneung],talent
이웃,[iut],neighborhood
위협,[wiheom],threat
귀,[gwi],ear
기적,[gijeok],miracle
할머니,[halmeoni],grandmother
회사,[hoesa],firm
승자,[seungja],winner
면허,[myeonheo],license
이점,[ijeom],advantage
원숭이,[wonsungi],monkey
거울,[geoul],mirror
나무,[namu],wood
조합,[johap],union
기독교인,[gidokgyoin],christian
폭력,[pokryeok],violence
보호,[boho],protection
갈고리,[galgori],hook
간나,[ganna],motherfucker
관심,[gwansim],concern
효과,[hyogwa],effect
스튜디오,[seutyudio],studio
짐,[jim],load
보물,[bomul],treasure
주문,[jumun],spell
철,[cheol],iron
구조,[gujo],rescue
치료,[chiryo],treatment
사막,[samak],desert
결과,[gyeolgwa],result
피아노,[piano],piano
우정,[ujeong],friendship
사탕,[satang],candy
신부,[sinbu],bride
꽃,[kkot],flower
뼈,[ppye],bone
가치,[gachi],value
주니어,[junieo],junior
잔해,[janhae],remains
금속,[geumsok],metal
팁,[tip],tip
휴일,[hyuil],holiday
이율,[iyul],rate
공연,[gongyeon],performance
주지사,[jujisa],governor
탈것,[talgeot],vehicle
토스트,[toseuteu],toast
자존심,[jajonsim],pride
샴페인,[syampein],champagne
낯선사람,[natseonsaram],stranger
제복,[jebok],uniform
눈물,[nunmul],tear
택시,[taeksi],cab
존재감,[jonjaegam],presence
비명,[bimyeong],scream
먼지,[meonji],dust
가장자리,[gajangjari],edge
마녀,[manyeo],witch
미디어,[midieo],media
주장,[jujang],claim
밥,[bap],rice
알,[al],egg
펀치,[peonchi],punch
캐스트,[kaeseuteu],cast
지능,[jineung],intelligence
소,[so],cow
표면,[pyomyeon],surface
담배,[dambae],cigarette
운명,[unmyeong],destiny
점수,[jeomsu],score
기술,[gisul],technology
용,[yong],dragon
조종사,[jojongsar],pilot
죄,[joe],sin
황제,[hwangje],emperor
목표,[mokpyo],goal
청소년,[cheongsonyeon],youth
냄비,[naembi],pot
늑대,[neukdae],wolf
폭발,[pokbal],boom
행,[haeng],row
구역,[guyeok],section
쓰레기장,[sseuregijang],dump
텍스트,[tekeuseuteu],text
죄수,[joesu],prisoner
제로,[jero],zero
바퀴,[bakwi],wheel
교환,[gyohwan],exchange
해안,[haean],coast
성적,[seongjeok],grade
교대,[gyodae],shift
치료,[chiryo],cure
희생,[huisaeng],sacrifice
짐승,[jimseung],beast
파이,[pai],pie
재료,[jaeryo],material
생물,[saengmul],creature
자취,[jachwi],trace
단추,[danchu],button
어둠,[eodum],darkness
구급차,[gugeupcha],ambulance
인터넷,[inteonet],internet
범위,[beomwi],range
전문가,[jeonmunga],expert
동결,[donggeol],freeze
판매,[panmae],sale
주스,[juseu],juice
솔루션,[sollusyeon],solution
탑,[tap],tower
질량,[jillyang],mass
외계인,[oegyein],alien
일정,[iljeong],schedule
계단,[gyedan],stairs
과일,[gwail],fruit
스파이,[seupai],spy
선배,[seonbae],senior
차고,[chago],garage
분노,[bunno],anger
단서,[danseo],clue
잡지,[jabji],magazine
지대,[jidae],zone
어깨,[eokkae],shoulder
진전,[jinjeon],progress
뱀,[baem],snake
노력,[noryeok],effort
엘리베이터,[ellibeiteo],elevator
문장,[munjang],sentence
장비,[jangbi],equipment
태도,[taedo],attitude
신문,[sinmun],newspaper
영장,[yeongjang],warrant
패자,[paeja],loser
시리즈,[sirijeu],series
시력,[siryuk],vision
배우,[baeu],actor
저주,[jeoju],curse
그림자,[geurimja],shadow
열정,[yeoljeong],passion
경로,[gyeongno],route
기자,[gija],reporter
폭발,[pokbal],explosion
분대,[bundae],squad
왕국,[wangguk],kingdom
화면,[hwamyeon],screen
패션,[paesyeon],fashion
파도,[pado],wave
등반,[deungban],climb
펜,[pen],pen
사건,[sageon],incident
황소,[hwangso],bull
사슬,[saseul],chain
장치,[jangchi],device
빚,[bit],debt
운동,[undong],campaign
포옹,[poong],hug
알코올,[alkool],alcohol
회의,[hoeui],conference
교육,[gyoyuk],education
정치,[jeongchi],politics
강간,[ganggan],rape
미라,[mira],mummy
국경,[gukgyeong],border
전선,[jeonseon],wire
상,[sang],prize
원,[won],circle
대상,[daesang],object
강도,[gangdo],robbery
천둥,[cheondung],thunder
밧줄,[batjul],rope
소금,[sogeum],salt
육체,[yukche],flesh
작가,[jakga],writer
쓰레기,[sseuregi],trash
보상,[bosang],reward
영광,[yeonggwang],glory
권위,[gwonwi],authority
재산,[jaesan],estate
마당,[madang],yard
탱크,[taengkeu],tank
자신감,[jasingam],confidence
부족,[bujok],lack
사과,[sagwa],apple
접근,[jeopgeun],approach
병아리,[byeongari],chick
인형,[inhyeong],doll
오리,[ori],duck
주식,[jusik],stock
도서관,[doseogwan],library
실패,[silpae],failure
운동,[undong],movement
활,[hwal],bow
꼬리,[kkori],tail
상원의원,[sangwonuiwon],senator
악몽,[akmong],nightmare
극장,[geukjang],theater
모래,[morae],sand
명성,[myeongsung],reputation
미끄러짐,[mikkeureojim],slip
분홍,[bunhong],pink
하녀,[hanye],maid
대행사,[daehaengsa],agency
어린시절,[eorinsijeol],childhood
정반대,[jeongbandae],opposite
정책,[jeongchaek],policy
패닉,[paenik],panic
디자인,[dijain],design
채팅,[chaeting],chat
과제,[gwaje],task
수다,[suda],chatter
벨트,[belteu],belt
